基本项目,I类,II类,III类,IV类,V类,劣V1类,劣V2类,劣V3类,劣V4类
pH,6-9,6-9,6-9,6-9,6-9,6-9,6-9,6-9,>9或<6
溶解氧,7.5,6.0,5.0,3.0,2.0,1.5,1.0,0.5,<0.5
化学需氧量,15,15,20,30,40,50,60,100,>100
高锰酸盐指数,2,4,6,10,15,20,30,40,>40
五日生化需氧量,3,3,4,6,10,10,20,30,>30
氨氮,0.15,0.5,1.0,1.5,2.0,5.0,8.0,25,>25
总磷,0.02,0.1,0.2,0.3,0.4,0.5,1.0,3.0,>3.0
铜,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,>1.0
锌,0.05,1.0,1.0,2.0,2.0,2.0,2.0,2.0,>2.0
氟化物,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,>1.5
硒,0.01,0.01,0.01,0.02,0.02,0.1,0.1,0.1,>0.1
砷,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,>0.1
汞,0.00005,0.00005,0.0001,0.001,0.001,0.001,0.001,0.001,>0.001
镉,0.001,0.005,0.005,0.005,0.01,0.01,0.01,0.01,>0.01
六价铬,0.01,0.05,0.05,0.05,0.1,0.1,0.1,0.1,>0.1
铅,0.01,0.01,0.05,0.05,0.1,0.1,0.1,0.1,>0.1
氰化物,0.005,0.05,0.2,0.2,0.2,0.5,0.5,0.5,>0.5
挥发酚,0.002,0.002,0.005,0.01,0.1,0.5,0.5,0.5,>0.5
石油类,0.05,0.05,0.05,0.5,1.0,1.0,3.0,5.0,>5.0
阴离子表面活性剂,0.2,0.2,0.2,0.3,0.3,0.5,1.0,2.0,>2.0
硫化物,0.05,0.1,0.2,0.5,1.0,1.0,1.0,1.0,>1.0